Facility_ID,Facility_Name,Facility_Name_HI,Facility_Type,Block,Category,HFR_ID,Latitude,Longitude,Coord_Status,Google_Maps_URL,Emergency_24x7,Operating_Hours,Bed_Count,Incharge_Designation,Incharge_Name,Contact_Phone,Key_Services,Address_Details,Drug_Stock_URL,Status,Display_Order
FAC001,District Hospital Sheikhpura,,DH,Sheikhpura,24x7,IN1010000318,25.138342,85.841429,ok,https://maps.app.goo.gl/xf3mWXx1dRhVAtma6,Yes,24x7 Emergency & Delivery,100,Civil Surgeon / Superintendent,,,"24x7 Emergency, IPD, OPD, ICU, SNCU, Dialysis, CT Scan, X-Ray, Ultrasound, Pathology, Blood Bank, Free Medicines, Ayushman Bharat","Sheikhpura, Sheikhpura",https://dwhbihar.dcservices.in/eAushadhi_BIHAR/rest/qrdata/99900134/0/0,Active,1
FAC002,CHC Ariari Sheikhpura,,CHC,Ariyari,24x7,IN1010000337,25.072470,85.852920,ok,https://maps.app.goo.gl/f5Msg5fW5sd8P89D6,Yes,24x7 Emergency & Delivery,30,Medical Officer In-Charge (MOIC),,,"24x7 Delivery, Emergency, General OPD, Minor OT, Pathology Lab, Immunization, Free Medicines, X-Ray","Ariyari, Sheikhpura",https://dwhbihar.dcservices.in/eAushadhi_BIHAR/rest/qrdata/99900671/0/0,Active,2
FAC003,CHC Barbigha Sheikhpura,,CHC,Barbigha,24x7,IN1010000296,25.216002,85.737815,ok,https://maps.app.goo.gl/g5XHz2A7c78nDdwq7,Yes,24x7 Emergency & Delivery,30,Medical Officer In-Charge (MOIC),,,"24x7 Delivery, Emergency, General OPD, Minor OT, Pathology Lab, Immunization, Free Medicines, X-Ray","Barbigha, Sheikhpura",https://dwhbihar.dcservices.in/eAushadhi_BIHAR/rest/qrdata/99901070/0/0,Active,3
FAC004,CHC Chewara Sheikhpura,,CHC,Chewara,24x7,IN1010000310,25.074390,85.929550,ok,https://maps.app.goo.gl/9u9KT5Nu4hzikTjv7,Yes,24x7 Emergency & Delivery,30,Medical Officer In-Charge (MOIC),,,"24x7 Delivery, Emergency, General OPD, Minor OT, Pathology Lab, Immunization, Free Medicines, X-Ray","Chewara, Sheikhpura",https://dwhbihar.dcservices.in/eAushadhi_BIHAR/rest/qrdata/99900674/0/0,Active,4
FAC005,CHC Ghat Kusmha Sheikhpura,,CHC,Ghatkusumbha,24x7,IN1010000345,25.212650,85.930760,ok,https://maps.app.goo.gl/oFu1YdfjMdafKvgi7,Yes,24x7 Emergency & Delivery,30,Medical Officer In-Charge (MOIC),,,"24x7 Delivery, Emergency, General OPD, Minor OT, Pathology Lab, Immunization, Free Medicines, X-Ray","Ghatkusumbha, Sheikhpura",https://dwhbihar.dcservices.in/eAushadhi_BIHAR/rest/qrdata/99900675/0/0,Active,5
FAC006,PHC Sheikhpura Sadar,,PHC,Sheikhpura,,IN1010000280,25.137528,85.863945,ok,https://maps.app.goo.gl/vGAHKhEMa1dvuRnt6,No,9:00 AM - 5:00 PM,6,Medical Officer In-Charge (MOIC),,,"OPD, Normal Delivery, Immunization, NCD Screening, Free Medicines, Lab Tests, ANC","Sheikhpura, Sheikhpura",,Active,6
FAC007,PHC Shekhopur Sarai Sheikhpura,,PHC,Shekhopur Sarai,24x7,IN1010000304,25.113180,85.682710,ok,https://maps.app.goo.gl/cqUpv1J3fD8LCofR6,Yes,24x7 Emergency & Delivery,6,Medical Officer In-Charge (MOIC),,,"OPD, Normal Delivery, Immunization, NCD Screening, Free Medicines, Lab Tests, ANC","Shekhopur Sarai, Sheikhpura",,Active,7
FAC008,APHC Biman Sheikhpura,,APHC,Ariyari,HWC,IN1010002894,25.052110,85.830130,ok,"https://www.google.com/maps/search/?api=1&query=25.05211,85.83013",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Ariyari, Sheikhpura",,Active,8
FAC009,APHC Sasbahna,,APHC,Ariyari,HWC,IN1010003470,25.141790,85.835470,ok,"https://www.google.com/maps/search/?api=1&query=25.14179,85.83547",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Ariyari, Sheikhpura",,Active,9
FAC010,HWC Kasar,,APHC,Ariyari,HWC,IN1010002893,25.048590,85.802050,ok,"https://www.google.com/maps/search/?api=1&query=25.04859,85.80205",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Ariyari, Sheikhpura",,Active,10
