Menu_ID,Menu_Label_EN,Menu_Label_HI,URL,Parent_Menu_ID,Display_Order,Is_Active,Link_Type,Icon,Target
NAV01,Home,होम,index.html,,1,Yes,Internal,home,_self
NAV02,Find a Health Centre,स्वास्थ्य केंद्र खोजें,facilities.html,,2,Yes,Internal,hospital,_self
NAV10,File a Complaint,शिकायत दर्ज करें,grievance.html,,3,Yes,Internal,shield,_self
NAV03,Free Services,नि:शुल्क सेवाएं,benefits.html,,4,Yes,Internal,heart,_self
NAV04,Health Programmes,स्वास्थ्य कार्यक्रम,programmes.html,,5,Yes,Internal,hospital,_self
NAV05,Events & News,कार्यक्रम एवं समाचार,events.html,,6,Yes,Internal,bell,_self
NAV06,Notices,सूचनाएँ,notices.html,,7,Yes,Internal,bell,_self
NAV07,Documents,दस्तावेज़,documents.html,,8,Yes,Internal,download,_self
NAV08,Contact Us,संपर्क करें,contact.html,,9,Yes,Internal,phone,_self
NAV09,BHAVYA Portal,भव्य पोर्टल,https://mera.bhavyabiharhealth.in/,,10,Yes,External,external,_blank
