Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0001,FY2627,CAT01,RCH.1,Maternal Health,मातृ स्वास्थ्य,Maternal Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,1,Active
PRG0002,FY2627,CAT01,RCH.2,PC-PNDT,पीसी-पीएनडीटी,PC-PNDT services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,2,Active
PRG0003,FY2627,CAT01,RCH.3,Child Health,बाल स्वास्थ्य,Child Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,3,Active
PRG0004,FY2627,CAT01,RCH.4,Immunization,टीकाकरण,Immunization services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,4,Active
PRG0005,FY2627,CAT01,RCH.5,Adolescent Health,किशोर स्वास्थ्य,Adolescent Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,5,Active
PRG0006,FY2627,CAT01,RCH.6,Family Planning,परिवार नियोजन,Family Planning services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,6,Active
PRG0007,FY2627,CAT01,RCH.7,Nutrition,पोषण,Nutrition services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,7,Active
PRG0008,FY2627,CAT01,RCH.8,National Iodine Deficiency Disorders Control Programme (NIDDCP),,National Iodine Deficiency Disorders Control Programme (NIDDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,8,Active
PRG0009,FY2627,CAT02,NDCP.1,Integrated Disease Surveillance Programme (IDSP),,Integrated Disease Surveillance Programme (IDSP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,9,Active
PRG0010,FY2627,CAT02,NDCP.2,National Vector Borne Disease Control Programme (NVBDCP),,National Vector Borne Disease Control Programme (NVBDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,10,Active
PRG0011,FY2627,CAT02,NDCP.3,National Leprosy Eradication Programme (NLEP),,National Leprosy Eradication Programme (NLEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,11,Active
PRG0012,FY2627,CAT02,NDCP.4,National Tuberculosis Elimination Programme (NTEP),,National Tuberculosis Elimination Programme (NTEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,12,Active
PRG0013,FY2627,CAT02,NDCP.5,National Viral Hepatitis Control Programme (NVHCP),,National Viral Hepatitis Control Programme (NVHCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,13,Active
PRG0014,FY2627,CAT02,NDCP.6,National Rabies Control Programme (NRCP),,National Rabies Control Programme (NRCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,14,Active
PRG0015,FY2627,CAT02,NDCP.7,National Programme on Containment of Anti-Microbial Resistance (AMR),,National Programme on Containment of Anti-Microbial Resistance (AMR) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,15,Active
PRG0016,FY2627,CAT02,NDCP.9,State specific Initiatives and Innovations,,State specific Initiatives and Innovations services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,16,Active
PRG0017,FY2627,CAT03,NCD.1,National Program for Control of Blindness and Vision Impairment (NPCB+VI),,National Program for Control of Blindness and Vision Impairment (NPCB+VI) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,17,Active
PRG0018,FY2627,CAT03,NCD.2,National Mental Health Program (NMHP),,National Mental Health Program (NMHP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,18,Active
PRG0019,FY2627,CAT03,NCD.3,National Programme for Health Care for the Elderly (NPHCE),,National Programme for Health Care for the Elderly (NPHCE) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,19,Active
PRG0020,FY2627,CAT03,NCD.4,National Tobacco Control Programme (NTCP),,National Tobacco Control Programme (NTCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,20,Active
PRG0021,FY2627,CAT03,NCD.5,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS)",,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS) services provided across the six blocks of Sheikhpura district through government health facilities.",District NCD Nodal Officer,21,Active
PRG0022,FY2627,CAT03,NCD.6,Pradhan Mantri National Dialysis Programme (PMNDP),,Pradhan Mantri National Dialysis Programme (PMNDP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,22,Active
